order_id,customer_id,status,total_amount,shipping_address,order_date
1,1,true,35,4400 Utah Drive,7/16/2024
60,2,false,35,21 Oneill Road,2/11/2024
58,3,false,72,82 Riverside Place,3/17/2024
49,4,false,37,8 Tony Lane,9/12/2024
36,5,true,50,4 Mockingbird Court,8/12/2024
5,6,true,63,07 Texas Crossing,2/26/2024
73136,7,false,72,42838 Hoard Point,5/30/2024
596,8,false,2,251 Clove Parkway,12/27/2023
60930,9,false,84,500 Roth Lane,12/3/2023
4378,10,true,70,24 Westend Point,4/23/2024
76000,11,false,21,8590 Alpine Drive,7/14/2024
01701,12,true,72,65642 Sundown Way,5/24/2024
891,13,true,73,5555 Westerfield Center,3/27/2024
386,14,false,44,60 Glendale Avenue,3/8/2024
011,15,false,5,20 High Crossing Alley,12/28/2023
6,16,false,84,127 Rowland Parkway,8/20/2024
7,17,true,11,75 Gateway Plaza,5/27/2024
5054,18,false,5,14975 Sage Avenue,11/17/2023
60,19,false,14,249 Harbort Terrace,3/7/2024
64,20,true,99,10015 Kropf Alley,8/28/2024
8626,21,true,33,7 Mcguire Pass,5/26/2024
48,22,true,51,2549 Hoepker Court,10/21/2024
778,23,true,20,9 Northwestern Junction,12/28/2023
24,24,false,66,2776 Erie Pass,1/2/2024
30367,25,true,11,93 Marcy Lane,6/19/2024
428,26,true,81,65698 Calypso Point,7/8/2024
91,27,false,32,0664 Northfield Pass,6/20/2024
1,28,false,49,380 Lunder Park,10/31/2024
7,29,false,76,5 Dunning Terrace,5/3/2024
9210,30,false,21,04457 Helena Terrace,12/3/2023
05953,31,false,53,86270 Thompson Trail,7/17/2024
557,32,false,38,95 Clemons Street,3/27/2024
43,33,false,48,08 Raven Point,4/16/2024
61881,34,true,4,3 3rd Junction,11/20/2023
4369,35,false,29,1 Tennyson Trail,11/18/2023
97,36,true,93,4110 Pepper Wood Alley,1/8/2024
45,37,true,7,0 Summerview Drive,10/17/2024
2626,38,false,53,84338 Debra Road,1/17/2024
01501,39,true,20,782 Prairie Rose Alley,9/14/2024
5,40,true,94,65 Cherokee Junction,7/10/2024
40,41,true,100,324 Esch Point,6/2/2024
5304,42,true,4,91 Glendale Pass,1/10/2024
5,43,true,33,6 Briar Crest Street,10/22/2024
34,44,false,65,13 Sundown Road,1/14/2024
8023,45,false,42,37945 Cody Place,8/7/2024
52,46,false,61,2 Calypso Point,4/27/2024
96,47,true,53,36 Moose Alley,11/17/2023
6,48,false,5,78492 Pearson Junction,7/11/2024
4045,49,false,95,67 Melvin Center,1/28/2024
841,50,false,58,7 Green Drive,4/2/2024
03302,51,true,49,54 Elgar Center,11/12/2023
61763,52,true,3,18 West Way,11/7/2023
78,53,true,80,37512 Prairieview Parkway,10/8/2024
1,54,true,12,3968 Cottonwood Avenue,11/9/2023
7,55,true,51,77 Mandrake Trail,9/1/2024
61,56,true,67,32 Atwood Pass,8/30/2024
7488,57,true,26,301 Armistice Terrace,2/15/2024
41,58,true,51,4225 Carey Drive,3/17/2024
3,59,false,14,578 Amoth Avenue,3/29/2024
204,60,false,54,6197 Carberry Hill,10/18/2024
80,61,true,42,18 Harbort Place,10/1/2024
0,62,true,46,611 Merrick Terrace,10/16/2024
47,63,true,39,8090 Commercial Park,4/15/2024
790,64,false,22,303 Arrowood Parkway,3/18/2024
75,65,false,1,9 Columbus Center,4/15/2024
842,66,false,17,036 Moose Parkway,10/29/2024
050,67,true,23,87515 Tennyson Court,9/18/2024
588,68,true,87,24102 Arizona Alley,9/18/2024
39566,69,false,71,441 Jana Parkway,12/5/2023
952,70,true,44,16 Vidon Hill,7/4/2024
8,71,true,81,8 Arrowood Court,12/11/2023
31239,72,true,87,65430 Spohn Junction,3/3/2024
01795,73,false,39,56 Northwestern Alley,2/14/2024
6,74,false,99,08 Tomscot Center,7/31/2024
7,75,false,40,7377 Sundown Hill,1/16/2024
26866,76,true,30,855 Oak Valley Road,12/20/2023
4,77,true,95,4 Vera Hill,8/20/2024
6,78,true,93,4379 Fremont Drive,3/9/2024
894,79,true,18,821 Cherokee Trail,7/27/2024
965,80,false,8,8 Huxley Plaza,8/3/2024
0829,81,true,96,2817 Lien Way,9/21/2024
949,82,false,38,21889 Dwight Alley,11/5/2023
653,83,false,91,45 Columbus Plaza,12/26/2023
29697,84,false,38,14107 Pearson Plaza,7/7/2024
39,85,false,34,0889 Elmside Way,8/20/2024
35,86,true,47,03170 Continental Alley,3/17/2024
069,87,false,79,70748 Lakeland Point,2/14/2024
4,88,false,33,3 Commercial Alley,11/5/2023
14446,89,true,40,72 Gateway Street,9/7/2024
93,90,false,49,058 Anzinger Point,7/18/2024
205,91,true,75,181 Northwestern Court,1/18/2024
4,92,false,84,5 Annamark Crossing,5/12/2024
39,93,true,6,78 Barnett Circle,11/20/2023
6138,94,true,51,81104 Holy Cross Junction,8/12/2024
24,95,true,70,78 Roth Lane,12/4/2023
77333,96,true,89,170 2nd Avenue,2/21/2024
675,97,false,96,892 Straubel Lane,1/23/2024
61,98,true,39,9 Mayer Circle,10/13/2024
9,99,true,36,29212 Amoth Drive,3/5/2024
5,100,false,33,17191 Vermont Pass,9/16/2024
